,dayofweek,startDate_year,startDate_month,startDate_day,startDate_hour,startDate_minute,holiday,schoolHoliday,predicted_load
534,2,2015,5,6,13,15,0,0,412.24185
535,2,2015,5,6,13,30,0,0,412.50183
536,2,2015,5,6,13,45,0,0,412.47083
537,2,2015,5,6,14,0,0,0,410.8214
538,2,2015,5,6,14,15,0,0,409.79507
539,2,2015,5,6,14,30,0,0,410.24896
540,2,2015,5,6,14,45,0,0,410.80338
541,2,2015,5,6,15,0,0,0,410.3867
542,2,2015,5,6,15,15,0,0,409.15997
543,2,2015,5,6,15,30,0,0,408.89017
544,2,2015,5,6,15,45,0,0,409.07785
545,2,2015,5,6,16,0,0,0,407.33994
546,2,2015,5,6,16,15,0,0,406.09845
547,2,2015,5,6,16,30,0,0,405.86832
548,2,2015,5,6,16,45,0,0,405.57928
549,2,2015,5,6,17,0,0,0,395.63733
550,2,2015,5,6,17,15,0,0,394.68286
551,2,2015,5,6,17,30,0,0,394.735
552,2,2015,5,6,17,45,0,0,394.3782
553,2,2015,5,6,18,0,0,0,385.07745
554,2,2015,5,6,18,15,0,0,384.26767
555,2,2015,5,6,18,30,0,0,384.19553
556,2,2015,5,6,18,45,0,0,383.70135
557,2,2015,5,6,19,0,0,0,384.24203
558,2,2015,5,6,19,15,0,0,384.15665
559,2,2015,5,6,19,30,0,0,384.1945
560,2,2015,5,6,19,45,0,0,384.06976
561,2,2015,5,6,20,0,0,0,383.7384
562,2,2015,5,6,20,15,0,0,383.62036
563,2,2015,5,6,20,30,0,0,383.64618
564,2,2015,5,6,20,45,0,0,383.4927
565,2,2015,5,6,21,0,0,0,383.29056
566,2,2015,5,6,21,15,0,0,382.895
567,2,2015,5,6,21,30,0,0,382.7536
568,2,2015,5,6,21,45,0,0,381.27408
569,2,2015,5,6,22,0,0,0,367.69272
570,2,2015,5,6,22,15,0,0,366.47418
571,2,2015,5,6,22,30,0,0,365.54688
572,2,2015,5,6,22,45,0,0,364.97012
573,2,2015,5,6,23,0,0,0,362.41586
